_id,total
"{""url"": ""www.thelocal.fr""}",1
"{""url"": ""www.goodreturns.in""}",337
"{""url"": ""www.greencarreports.com""}",1
"{""url"": ""www.geo.tv""}",11
"{""url"": ""www.tomsguide.com""}",2
"{""url"": ""getindianews.com""}",3
"{""url"": ""oilprice.com""}",314
"{""url"": ""english.manoramaonline.com""}",22
"{""url"": ""images.dawn.com""}",6
"{""url"": ""www.kitco.com""}",436
"{""url"": ""endpts.com""}",1
"{""url"": ""www.nationalheraldindia.com""}",12
"{""url"": ""www.thesun.co.uk""}",4
"{""url"": ""www.coindesk.com""}",74
"{""url"": ""www.bustle.com""}",1
"{""url"": ""www.mid-day.com""}",14
"{""url"": ""news.un.org""}",1
"{""url"": ""www.iamexpat.nl""}",1
"{""url"": ""www.helpnetsecurity.com""}",2
"{""url"": ""www.newsintervention.com""}",1
"{""url"": ""archinect.com""}",1
"{""url"": ""www.thekashmirmonitor.net""}",1
"{""url"": ""www.healthline.com""}",6
"{""url"": ""www.thedailymeal.com""}",1
"{""url"": ""www.formula1.com""}",2
"{""url"": ""www.fiercebiotech.com""}",2
"{""url"": ""hwnews.in""}",3
"{""url"": ""www.defenseworld.net""}",1
"{""url"": ""daijiworld.com""}",6
"{""url"": ""www.deccanchronicle.com""}",69
"{""url"": ""www.afr.com""}",1
"{""url"": ""www.wsj.com""}",39
"{""url"": ""www.stattimes.com""}",1
"{""url"": ""www.thenews.com.pk""}",4
"{""url"": ""knnindia.co.in""}",1
"{""url"": ""coinpedia.org""}",4
"{""url"": ""www.mindbodygreen.com""}",1
"{""url"": ""www.arabnews.com""}",105
"{""url"": ""www.businesstimes.com.sg""}",1
"{""url"": ""thecsrjournal.in""}",1
"{""url"": ""cricketaddictor.com""}",1
"{""url"": ""www.thepeninsulaqatar.com""}",16
"{""url"": ""www.socialmediatoday.com""}",18
"{""url"": ""diginomica.com""}",1
"{""url"": ""www.coventrytelegraph.net""}",1
"{""url"": ""www.dailyexcelsior.com""}",1
"{""url"": ""www.businesstoday.in""}",1
"{""url"": ""wolfstreet.com""}",1
"{""url"": ""www.campaignindia.in""}",16
"{""url"": ""threatpost.com""}",10
"{""url"": ""wersm.com""}",1
"{""url"": ""cio.eletsonline.com""}",1
"{""url"": ""www.republicworld.com""}",221
"{""url"": ""kalingatv.com""}",47
"{""url"": ""www.telugu360.com""}",3
"{""url"": ""www.medtechdive.com""}",1
"{""url"": ""www.thenewsminute.com""}",331
"{""url"": ""www.calcalistech.com""}",2
"{""url"": ""www.indiatimes.com""}",55
"{""url"": ""thehill.com""}",2
"{""url"": ""www.upstreamonline.com""}",1
"{""url"": ""www.wareable.com""}",1
"{""url"": ""www.thejakartapost.com""}",42
"{""url"": ""www.gadgetsnow.com""}",483
"{""url"": ""www.businesstraveller.com""}",7
"{""url"": ""simplywall.st""}",1
"{""url"": ""www.cnn.com""}",138
"{""url"": ""www.diagnosticimaging.com""}",1
"{""url"": ""www.sciencemag.org""}",3
"{""url"": ""www.marktechpost.com""}",1
"{""url"": ""www.biotecnika.org""}",1
"{""url"": ""www.crn.in""}",1
"{""url"": ""www.agriculture.com""}",3
"{""url"": ""tech.economictimes.indiatimes.com""}",73
"{""url"": ""cleantechnica.com""}",47
"{""url"": ""www.inc.com""}",13
"{""url"": ""www.cerner.com""}",1
"{""url"": ""www.globaltimes.cn""}",102
"{""url"": ""www.teslarati.com""}",6
"{""url"": ""www.newsroompost.com""}",10
"{""url"": ""simpleflying.com""}",186
"{""url"": ""www.zdnet.com""}",55
"{""url"": ""www.medianama.com""}",18
"{""url"": ""food.ndtv.com""}",50
"{""url"": ""www.nagalandpost.com""}",1
"{""url"": ""medium.com""}",1
"{""url"": ""mumbaimirror.indiatimes.com""}",97
"{""url"": ""swarajyamag.com""}",413
"{""url"": ""www.reinsurancene.ws""}",3
"{""url"": ""www.androidauthority.com""}",56
"{""url"": ""www.seroundtable.com""}",2
"{""url"": ""www.rigzone.com""}",4
"{""url"": ""www.mobigyaan.com""}",1
"{""url"": ""www.analyticsinsight.net""}",328
"{""url"": ""www.psuconnect.in""}",2
"{""url"": ""www.oneindia.com""}",12
"{""url"": ""tribune.com.pk""}",19
"{""url"": ""cryptoticker.io""}",1
"{""url"": ""www.televisionpost.com""}",4
"{""url"": ""www.thestar.com""}",1
"{""url"": ""carbuzz.com""}",3
"{""url"": ""www.sportskeeda.com""}",12
"{""url"": ""www.exchange4media.com""}",37
"{""url"": ""www.taipeitimes.com""}",2
"{""url"": ""www.forbes.com""}",135
"{""url"": ""gaadiwaadi.com""}",3760
"{""url"": ""www.proactiveinvestors.co.uk""}",2
"{""url"": ""www.beckershospitalreview.com""}",3
"{""url"": ""www.thelancet.com""}",3
"{""url"": ""www.valuewalk.com""}",1
"{""url"": ""www.crn.com""}",74
"{""url"": ""www.fiercewireless.com""}",3
"{""url"": ""www.zigwheels.com""}",326
"{""url"": ""www.thequint.com""}",73
"{""url"": ""7news.com.au""}",2
"{""url"": ""www.bgr.in""}",25
"{""url"": ""uk.news.yahoo.com""}",1
"{""url"": ""www.economywatch.com""}",2
"{""url"": ""www.seatrade-maritime.com""}",1
"{""url"": ""insidehpc.com""}",1
"{""url"": ""in.style.yahoo.com""}",6
"{""url"": ""news.microsoft.com""}",15
"{""url"": ""www.malaymail.com""}",1
"{""url"": ""www.thebetterindia.com""}",4
"{""url"": ""www.theweek.in""}",7
"{""url"": ""www.investingcube.com""}",3
"{""url"": ""www.theregister.com""}",2
"{""url"": ""www.aljazeera.com""}",248
"{""url"": ""news.google.com""}",4897
"{""url"": ""www.navalnews.com""}",1
"{""url"": ""economictimes.indiatimes.com""}",10187
"{""url"": ""ftalphaville.ft.com""}",1
"{""url"": ""www.americanbanker.com""}",2
"{""url"": ""www.asianage.com""}",3
"{""url"": ""ambcrypto.com""}",61
"{""url"": ""www.japantimes.co.jp""}",4
"{""url"": ""9to5mac.com""}",4
"{""url"": ""www.techgenyz.com""}",1
"{""url"": ""www.ynetnews.com""}",1
"{""url"": ""www.lbc.co.uk""}",1
"{""url"": ""www.gqindia.com""}",6
"{""url"": ""www.pfizer.com""}",1
"{""url"": ""www.indiatoday.in""}",1652
"{""url"": ""ahmedabadmirror.indiatimes.com""}",2
"{""url"": ""entrackr.com""}",448
"{""url"": ""thehackernews.com""}",43
"{""url"": ""the-ken.com""}",16
"{""url"": ""www.dailypioneer.com""}",2
"{""url"": ""www.crypto-news-flash.com""}",1
"{""url"": ""www.businessinsider.in""}",920
"{""url"": ""www.grandprix247.com""}",1
"{""url"": ""europe.autonews.com""}",2
"{""url"": ""www.bloomberg.com""}",399
"{""url"": ""www.shine.cn""}",1
"{""url"": ""bgr.com""}",8
"{""url"": ""www.dtnext.in""}",1
"{""url"": ""newsaf.cgtn.com""}",9
"{""url"": ""nakedsecurity.sophos.com""}",2
"{""url"": ""goldprice.org""}",2
"{""url"": ""www.barrons.com""}",23
"{""url"": ""www.belfasttelegraph.co.uk""}",1
"{""url"": ""www.printweek.in""}",1
"{""url"": ""www.newsbytesapp.com""}",71
"{""url"": ""www.defensenews.com""}",1
"{""url"": ""www.onclive.com""}",1
"{""url"": ""food.manoramaonline.com""}",2
"{""url"": ""insidebitcoins.com""}",1
"{""url"": ""www.orissapost.com""}",1
"{""url"": ""www.investing.com""}",1839
"{""url"": ""venturebeat.com""}",17
"{""url"": ""www.investopedia.com""}",7
"{""url"": ""ipl-2020-coca-cola-likely-to-stay-out-of-ipl-2020""}",1
"{""url"": ""www.cxotoday.com""}",2
"{""url"": ""www.indiacarnews.com""}",523
"{""url"": ""m.thewire.in""}",2
"{""url"": ""thevrsoldier.com""}",2
"{""url"": ""www.eweek.com""}",1
"{""url"": ""www.soompi.com""}",2
"{""url"": ""www.manchestereveningnews.co.uk""}",2
"{""url"": ""www.scoopwhoop.com""}",12
"{""url"": ""www.breakingnews.ie""}",1
"{""url"": ""www.coingecko.com""}",1
"{""url"": ""learningenglish.voanews.com""}",1
"{""url"": ""www.tribuneindia.com""}",151
"{""url"": ""www.anandtech.com""}",1
"{""url"": ""www.newslaundry.com""}",11
"{""url"": ""www.neweurope.eu""}",1
"{""url"": ""www.phoronix.com""}",1
"{""url"": ""www.news-medical.net""}",2
"{""url"": ""variety.com""}",6
"{""url"": ""www.businesswireindia.com""}",2
"{""url"": ""www.pv-magazine-india.com""}",3
"{""url"": ""www.koreaherald.com""}",2
"{""url"": ""auto.hindustantimes.com""}",2863
"{""url"": ""www.altnews.in""}",6
"{""url"": ""krishijagran.com""}",5
"{""url"": ""in.finance.yahoo.com""}",70
"{""url"": ""www.washingtonpost.com""}",11
"{""url"": ""www.avenuemail.in""}",2
"{""url"": ""www.gold-eagle.com""}",1
"{""url"": ""www.equitybulls.com""}",122
"{""url"": ""www.apple.com""}",4
"{""url"": ""asia.nikkei.com""}",21
"{""url"": ""interestingengineering.com""}",24
"{""url"": ""www.dallasnews.com""}",1
"{""url"": ""analyticsindiamag.com""}",44
"{""url"": ""zycrypto.com""}",25
"{""url"": ""www.dnaindia.com""}",150
"{""url"": ""observer.com""}",1
"{""url"": ""seekingalpha.com""}",8
"{""url"": ""www.pymnts.com""}",6
"{""url"": ""science.thewire.in""}",39
"{""url"": ""www.guwahatiplus.com""}",11
"{""url"": ""www.thenationalnews.com""}",6
"{""url"": ""www.marketwatch.com""}",38
"{""url"": ""thepeninsulaqatar.com""}",1
"{""url"": ""www.usatoday.com""}",5
"{""url"": ""cointelegraph.com""}",162
"{""url"": ""mercomindia.com""}",86
"{""url"": ""www.fiercepharma.com""}",35
"{""url"": ""www.telecomlead.com""}",2
"{""url"": ""crickettimes.com""}",1
"{""url"": ""www.roadandtrack.com""}",1
"{""url"": ""www.airlineratings.com""}",1
"{""url"": ""bitcoinist.com""}",21
"{""url"": ""www.benzinga.com""}",10
"{""url"": ""syncedreview.com""}",1
"{""url"": ""www.saurenergy.com""}",4
"{""url"": ""www.infosecurity-magazine.com:443""}",3
"{""url"": ""www.cryptoglobe.com""}",49
"{""url"": ""www.mirchi9.com""}",9
"{""url"": ""www.rideapart.com""}",20
"{""url"": ""amp.theguardian.comworld""}",3
